timestamp,minZ_0,minZ_1,minZ_2,minZ_3,minZ_4,minZ_5,minZ_6,minZ_7,minZ_8,minZ_9,minZ_10,minZ_11,minZ_12,minZ_13,minZ_14,minZ_15,minZ_16,minZ_17,minZ_18,minZ_19,minZ_20,minZ_21,minZ_22,minZ_23,minZ_24,minZ_25,minZ_26,minZ_27,minZ_28,minZ_29,minZ_30,minZ_31,minZ_32,minZ_33,minZ_34,minZ_35,minZ_36,minZ_37,minZ_38,minZ_39
2024-03-13 07_37_24,210.1999998,214.5999908,213.8000011,207.3999882,210.8999968,211.7000103,213.1000042,210.8999968,211.7000103,211.7000103,211.7000103,210.8999968,210.1999998,208.100009,210.1999998,208.8000059,207.3999882,207.3999882,207.3999882,203.399992,208.100009,208.100009,204.6999931,205.3999901,208.100009,203.9999962,206.1000109,199.5000005,202.699995,207.3999882,203.9999962,203.9999962,202.699995,200.0999928,195.7000017,200.0999928,205.3999901,203.9999962,200.0999928,195.0999975
2024-03-13 07_47_24,213.1000042,214.5999908,206.6999912,214.5999908,209.5000029,211.7000103,210.8999968,210.8999968,212.4000072,211.7000103,213.1000042,210.8999968,209.5000029,208.8000059,210.8999968,209.5000029,210.1999998,208.100009,208.100009,205.3999901,201.9999981,206.6999912,198.8000035,200.6999969,207.3999882,203.399992,203.399992,201.9999981,201.3999939,204.6999931,203.399992,203.399992,200.6999969,198.8000035,195.7000017,199.5000005,206.1000109,202.699995,200.0999928,197.5999951
2024-03-13 07_57_24,213.1000042,213.1000042,209.5000029,206.1000109,211.7000103,210.1999998,213.1000042,211.7000103,212.4000072,213.1000042,213.1000042,211.7000103,208.100009,208.8000059,210.8999968,209.5000029,210.1999998,209.5000029,208.100009,205.3999901,206.6999912,200.6999969,205.3999901,205.3999901,205.3999901,203.9999962,203.9999962,201.3999939,208.100009,206.6999912,199.5000005,201.9999981,201.9999981,199.5000005,199.5000005,200.0999928,207.3999882,205.3999901,200.0999928,197.5999951
2024-03-13 08_07_24,213.1000042,214.5999908,214.5999908,210.1999998,212.4000072,211.7000103,210.8999968,210.8999968,207.3999882,211.7000103,212.4000072,210.8999968,209.5000029,209.5000029,210.8999968,209.5000029,209.5000029,208.8000059,207.3999882,204.6999931,203.399992,204.6999931,203.9999962,203.399992,207.3999882,203.9999962,203.399992,202.699995,205.3999901,203.399992,203.399992,203.9999962,200.6999969,199.5000005,199.5000005,199.5000005,204.6999931,203.399992,201.9999981,193.2999969
2024-03-13 08_17_24,210.1999998,213.8000011,213.1000042,208.8000059,212.4000072,212.4000072,214.5999908,211.7000103,212.4000072,212.4000072,213.1000042,210.8999968,209.5000029,210.1999998,210.8999968,210.8999968,208.8000059,210.1999998,207.3999882,204.6999931,204.6999931,207.3999882,206.1000109,203.399992,207.3999882,208.100009,206.1000109,200.0999928,200.0999928,200.6999969,201.3999939,204.6999931,202.699995,200.6999969,200.6999969,200.0999928,207.3999882,203.399992,200.0999928,198.1999993
2024-03-13 08_27_24,212.4000072,213.1000042,210.1999998,210.1999998,211.7000103,211.7000103,212.4000072,210.1999998,213.8000011,212.4000072,213.8000011,210.1999998,209.5000029,209.5000029,210.8999968,210.8999968,209.5000029,208.100009,208.100009,205.3999901,203.9999962,207.3999882,203.9999962,204.6999931,205.3999901,205.3999901,203.399992,201.3999939,207.3999882,204.6999931,203.399992,202.699995,198.8000035,201.9999981,196.8999982,200.6999969,208.8000059,204.6999931,205.3999901,202.699995
2024-03-13 08_37_25,213.8000011,214.5999908,213.1000042,208.8000059,212.4000072,211.7000103,213.1000042,210.8999968,213.1000042,210.8999968,213.1000042,211.7000103,210.1999998,210.1999998,209.5000029,210.8999968,208.8000059,209.5000029,207.3999882,205.3999901,208.100009,201.9999981,204.6999931,203.9999962,207.3999882,203.399992,202.699995,200.6999969,203.399992,206.1000109,201.3999939,200.6999969,203.9999962,201.3999939,200.6999969,200.6999969,206.1000109,203.399992,200.6999969,196.8999982
2024-03-13 08_47_25,213.8000011,212.4000072,213.8000011,213.8000011,212.4000072,210.8999968,212.4000072,211.7000103,211.7000103,211.7000103,213.1000042,211.7000103,209.5000029,210.1999998,210.1999998,210.8999968,209.5000029,208.100009,208.100009,205.3999901,207.3999882,202.699995,206.6999912,204.6999931,206.6999912,203.9999962,202.699995,200.0999928,207.3999882,206.1000109,205.3999901,205.3999901,202.699995,200.6999969,200.0999928,201.3999939,203.399992,203.9999962,201.3999939,189.1000032
2024-03-13 08_57_25,213.1000042,213.8000011,212.4000072,212.4000072,212.4000072,213.1000042,212.4000072,212.4000072,211.7000103,211.7000103,213.1000042,211.7000103,208.8000059,210.1999998,210.1999998,210.8999968,206.1000109,207.3999882,208.8000059,206.1000109,206.6999912,206.6999912,205.3999901,205.3999901,208.100009,204.6999931,203.9999962,200.0999928,202.699995,202.699995,206.6999912,201.9999981,201.9999981,200.0999928,199.5000005,200.0999928,206.1000109,205.3999901,204.6999931,200.6999969
2024-03-13 09_07_25,213.1000042,213.8000011,214.5999908,214.5999908,212.4000072,212.4000072,215.3000116,212.4000072,212.4000072,211.7000103,213.1000042,212.4000072,210.8999968,210.1999998,211.7000103,210.1999998,209.5000029,207.3999882,204.6999931,203.9999962,206.6999912,207.3999882,201.9999981,203.9999962,207.3999882,203.399992,203.9999962,200.0999928,203.9999962,206.1000109,206.6999912,202.699995,201.9999981,200.6999969,200.0999928,200.0999928,204.6999931,204.6999931,200.6999969,199.5000005
